¿En qué rango de edad te encuentras?,Ciudad de residencia,¿Cuál es tu motivación y/ó expectativa para postular al programa Track de mujeres?,Grado máximo de estudios alcanzados,¿Con qué definición te identificas actualmente? ,"Actualmente, ¿Cuáles son las 3 habilidades,  fortalezas o conocimientos que destacarías de ti?",¿Qué habilidades o conocimientos podrías o te gustaría adquirir o mejorar a través del programa?,"Actualmente, ¿Cuál es su fuente de ingresos?",¿Tienes acceso a una computadora e internet?,¿Tienes disponibilidad de asistir presencialmente 2 días seguidos a un taller (entre junio/julio y agosto)?,¿Qué días tienes mayor disponibilidad de tiempo para capacitarte o asistencia a eventos?,¿Cuál seria el horario de preferencia? ,¿Hace cuánto tiempo iniciaste en el mundo del emprendimiento?,Nombre del emprendimiento,Breve descripción en un párrafo del emprendimiento.,Rubro del emprendimiento,Antigüedad de tu emprendimiento en el que trabajas actualmente,¿Cuántas personas conforman tu emprendimiento actualmente? ,¿Cómo te enteraste del programa Track Mujeres,¿Dónde sueles buscar y compartir información? ¿Tienes alguna red social o plataforma favorita para mantenerte al día?,Categorizacion_Motivacion_Expectativa_Postulacion,Categorizacion_Habilidad_Adquisicion,Categoria_Habilidades_Destacadas
46 a 50 años,La Paz,Tener más habilidades para poder extender mi emprendimiento,Técnico medio o superior,Soy emprendedora,Mi perseverancia creatividad fortaleza ,Cómo poder hacer para que mi emprendimiento sea más conocido,De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Tarde,Hace más de un año,MÍA BELLEZZA,Joyas creadas a mano artesanalmente ,Artesanía y manualidades,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
41 a 45 años,La Paz,Aprender ,Técnico medio o superior,Soy emprendedora,Comunicación producción y vanguardia ,Marketing en redes sociales ,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de 10 años,Cioccolato ,Catering y pastelería ,Gastronomía y/ó alimentos,6 a 10 años,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Facebook,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Marketing digital,Emprendimiento e Innovación
26 a 30 años,El Alto,"Aprender sobre finanzas, prácticas para desarrollar mejor mi negocio. Aparte de adquirir experiencia y plasmarla en futuros proyectos o pupilos ya que a la Larga deseo ser Docente.",Licenciatura,Trabajo y emprendo como actividad paralela,"Creatividad,movimiento de mercado y adaptación ",Finanzas y marketing,De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Tarde,Hace menos de 1 año,IkD Artes Visuales,Creo suvenirs y marcas de ropas según a las necesidades del cliente u empresa totalmente personalizadas.,"Textil, moda, diseño y/ó venta de ropa",Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Emprendimiento e Innovación
46 a 50 años,Santa Cruz,Crecer con mi emprendimiento ,Técnico medio o superior,Soy emprendedora,Persistente aplicada disciplinada,Organización y administración ,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Noche,Hace más de un año,Casilda desing ,Trabajamos telas livianas y de algodón teniendo como productos poleras en sus diferentes versiones ,"Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Herramientas digitales,Resiliencia y Determinación
31 a 35 años,Santa Cruz,Potenciar mi emprendimiento ,Licenciatura,Soy emprendedora,"Perseverancia, redes sociales, ser perfeccionista ",Mejor manejo de economía ,De ambos (trabajo y emprendimiento),Si,Si,Indiferente,Noche,Hace más de un año,Karely eventos,Catering y alquiler de utensilios ,Gastronomía y/ó alimentos,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
41 a 45 años,Santa Cruz,Quiero capacitarme y consolidar mi negocio para convertirme en una gran empresaria exitosa!,Licenciatura,Soy emprendedora,"Persistente, audidacta y supercreativa, responsable.","Gestión, administración y finanzas, marketing y publicidad, manejo de redes sociales.",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Noche,Hace más de un año,"Jardinería, Paisajismo & Feng Shui","Realizamos mini jardines, mini paisajes, Bonsais, mini fuentes de agua, kokedamas, jardines de arena, arreglos con bambú y madera, arreglos con plantas y flores en general, plantas en agua o hidroponía, regalos o recuerdos corporativos, entre otros.",Artesanía y manualidades,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Liderazgo y Empoderamiento
41 a 45 años,La Paz,Mejorar para mejorar mi negocio ,Técnico medio o superior,Soy emprendedora,"Me gusta aprender, tengo actitud positiva, persistente","Liderazgo de equipo, manejo de mi emprendimiento",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Noche,Hace menos de 1 año,MARELEGA,Confección de ropa para la familia justo a tu gusto,"Textil, moda, diseño y/ó venta de ropa",Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Herramientas digitales,Resiliencia y Determinación
41 a 45 años,Cochabamba,El aprendizaje,Licenciatura,Soy emprendedora,Habilidad con las manos y creatividad,Cómo proyectarme  y potenciar mi emprendimiento,De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Mañana,Hace más de un año,Tejiendo sueños,Plasmados tus sueños en tejidos exclusivos.,Artesanía y manualidades,De 1 a 5 años,Sólo yo,Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Creatividad y Solución de Problemas
26 a 30 años,La Paz,Crecer más con mi emprendimiento ,Técnico medio o superior,Soy emprendedora,"Compromiso, preparación, y constancia ",Estructuras de trabajo sólido para mi emprendimiento ,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Tarde,Hace menos de 1 año,NutriFitness ,Catering de comida saludable ,Gastronomía y/ó alimentos,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
31 a 35 años,La Paz,Lograr un negocio estable y rentable ,Técnico medio o superior,Soy emprendedora,Trabajadora luchadora y madre,Quisiera aprender más sobre cómo llevar bien mi economia,A través de mi empresa o emprendimiento,No,Si,Fines de semana,Noche,Hace más de un año,"Pastelería ""Cami cake"" ","Una pastelería donde hacemos el servicio de te y desayunos naturales, masitas sin ningún tipo de conservantes ni esencias ni     nada artificial. ",Gastronomía y/ó alimentos,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
46 a 50 años,Santa Cruz,"Conocimiento, crecimiento y networking ",Maestria,Soy emprendedora,"Empatizar, resilencia y trabajo en equipo ",Herramientas de administración y proyección ,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Mañana,Hace más de 10 años,Inédito group y PECAR sin culpa ,Una consultora de marketing y Comunicación estrategica/ un catering de comida keto,Servicios profesionales y/ó consultorías,Más de 10 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
26 a 30 años,La Paz,Mejorar mi emprendimiento ,Maestria,Trabajo y emprendo como actividad paralela,Resiliencia proactividad liderazgo,Mejorar sobre mkt digital,De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Noche,Hace más de 5 años,Takeni.clothes ,Venta y acopio de ropa de segunda mano promoviendo el uso consciente de la ropa y la moda circular ,"Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Instagram,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Liderazgo y Empoderamiento
26 a 30 años,La Paz,Trabajo permanentemente en mi autosuperación y ampliación de conocimientos para fortalecer mi emprendimiento ,Diplomado,Trabajo y emprendo como actividad paralela,"Persistente, responsable y resiliente ",Herramientas digitales para mi negocio y mejor manejo de mis recursos económicos ,De ambos (trabajo y emprendimiento),Si,Si,Indiferente,Noche,Hace más de un año,La Wira Wira Bordados ,Somos un emprendimiento de bordado moderno a mano con el lema tus deseos en bordado ,Artesanía y manualidades,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Liderazgo y Empoderamiento
31 a 35 años,La Paz,Superación personal y profesional,Licenciatura,Trabajo y emprendo como actividad paralela,"Perseverante, optimista, versátil ","Marketing Digital, ventas ",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de un año,ELEONOR,"Perfumes de marca de diseñadores, exclusivos. ","Belleza, cuidado personal",De 1 a 5 años,Sólo yo,Redes sociales Pista8,Facebook,Otro,Marketing digital,Resiliencia y Determinación
46 a 50 años,Santa Cruz,Emprender con mi negocio ,Artesana,Soy emprendedora,Bordado de chinelas con Cristales ,Cómo mejorar las ventas ,Aún no percibo ingresos,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Otras
46 a 50 años,Cochabamba,Networking ,Licenciatura,Trabajo y emprendo como actividad paralela,"Trabajo en equipo, aprender rápido y manejo de tecnología para crear programas educativos ",Plan de negocio,De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Tarde,Hace menos de 1 año,Saranti,Gestión de contenidos de formación profesional individual o como empresa,Servicios profesionales y/ó consultorías,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Instagram,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Emprendimiento e Innovación
36 a 40 años,Santa Cruz,Capacitarme para potenciar lo que hago,Técnico medio o superior,Soy emprendedora,"Soy una persona que intenta ser responsable, cumplida y dedicada.","Me gustaría aprender sobre marketing y ventas, a gestionar personas y sobre costos.",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Tarde,Hace más de un año,Panadería Rosita ,"Somos un emprendimiento tanto de panes, horneados típicos y un poco de cositas dulces, buscamos crecer y establecernos",Gastronomía y/ó alimentos,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Liderazgo y Empoderamiento
26 a 30 años,Cochabamba,Adquirir nuevas habilidades para fortalecer mi emprendimiento ,Diplomado,En búsqueda de empleo,"Perseverancia, optimismo, creativa",Marketing digital y finanzas ,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Tarde,Hace más de un año,Chiwi,Papelería creativa y productos personalizados ,Artesanía y manualidades,De 1 a 5 años,Sólo yo,Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
41 a 45 años,La Paz,Emprender,Licenciatura,Trabajo como profesional independiente,"Perseverancia, Automotivada, Adaptabilidad",Marketing digital y uso de redes,Aún no percibo ingresos,,,,,,,,,,,,,Otro,Marketing digital,Resiliencia y Determinación
26 a 30 años,La Paz,Impulsar mis conocimientos ,Licenciatura,En búsqueda de empleo,"Orden, puntualidad y respeto ",Innovar ,Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Otro,Responsabilidad y Compromiso
26 a 30 años,La Paz,Poder emprender mi negocio de carpintería ,Licenciatura,En búsqueda de empleo,"Aprendo rápido, no me rindo fácil y soy responsable ","Liderazgo, relaciones personales y de trabajo ",Aún no percibo ingresos,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Ventas con propósito,Liderazgo y Empoderamiento
46 a 50 años,La Paz,Lograr un emprendimiento próspero y exitoso ,Licenciatura,Soy emprendedora,"Perseverante, responsable y organizada ","Habilidades para el marketing, habilidades comunicacionales",Aún no percibo ingresos,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Liderazgo y Empoderamiento
26 a 30 años,Santa Cruz,"Crecer, y poder hacer realidad mis ideas de negocio",Licenciatura,Trabajo como profesional independiente,"marketing digital, cierre  de ventas, Liderazgo, inteligencia emocional.","marketing digital, negociación,  manejo de personal en los negocios, finanzas.",De ambos (trabajo y emprendimiento),Si,Si,Indiferente,Mañana,Hace menos de 1 año,Marketing de afiliados de infoproductos,venta de infoproductos de la plataforma Hotmart,Educación y formación,Menos de 1 año,Sólo yo,Redes sociales Banco Sol,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Liderazgo y Empoderamiento
36 a 40 años,La Paz,"Emprender es la mejor opción hoy en día para mi persona, ya que adquirí conocimiento trabajando y deseo ampliarlos en mi emprendimiento siendo productiva y llevando soluciones de provecho de acuerdo a las necesidades de los clientes. ",Bachiller,Soy emprendedora,"Creatividad, soluciones rápidas, aprendo rápido ",Estrategias sobre mejorar el precio en los productos que ofrezco ,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Tarde,Hace menos de 1 año,Aun sin nombre ,"Realizo ventas en marketplece, sobre trabajos en madera trupan, cartulina triplex y corte de vinil en maquina ploter, además de cotilloneria y diseño de flyers ",Artesanía y manualidades,Menos de 1 año,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Emprendimiento e Innovación
31 a 35 años,Santa Cruz,Crecer,Licenciatura,Soy emprendedora,"Superación,perseverancia",Aprendizaje y crecimiento ,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Mañana,Hace menos de 1 año,WOMEN PLUS,Ropa para mujer de talla grande ,"Textil, moda, diseño y/ó venta de ropa",Menos de 1 año,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
Más de 50 años,Santa Cruz,Adquirir conocimientos y actualizarme con  las nuevas tendencias para las ventas,Licenciatura,Soy emprendedora,"Perseverancia, interés por adquirir nuevos conocimientos y facilidad de aprendizaje ",Manejo de redes sociales ,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Tarde,Hace más de 5 años,Refrescos Artesanales OASIS ,Producción y venta de refrescos artesanales sin conservantes ni aditivos ,Gastronomía y/ó alimentos,6 a 10 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
41 a 45 años,La Paz,"Ser mujer líder , independiente por sobre todo resiliente. ",Diplomado,Trabajo como dependiente,"Hablar idiomas extranjeros, no rendirme jamás y seguir estudiando,aprendiendo y emprendiendo cada día.","Poder capacitarme para poder conocer sobre estudio de mercados,  exportación e importación.",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de un año,Inglés nómada.,Dictar clases de inglés a personas de bajos recursos,Educación y formación,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Facebook,Ser dueñas de su tiempo.,Marketing digital,Otras
26 a 30 años,La Paz,Adquirir conocimientos para poder lograr nuevas oportunidades ,Licenciatura,En búsqueda de empleo,"Atención al cliente , constancia, empatia",Ventas,Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
Más de 50 años,La Paz,Tengo un emprendimientoby quiero potenciarlo,Técnico medio o superior,Soy emprendedora,Disciplinada Positiva Perseverante,Tecnicas actualizadas de marketin,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de un año,Palacio de los postres y tortas,Venta de tortas y postres,Gastronomía y/ó alimentos,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
18 a 25 años,Santa Cruz,"Adquirir todo conocimiento posible, sobre todo modelos de negocio y diligencias a la hora de emprender, principales fuentes de financiamiento y como gestionarlas. Además rodearme de un entorno de personas emprendedoras será un gran estimulante a la hora de empezar algún emprendimiento",Licenciatura,Soy emprendedora,"1. Habilidades blandas desarrollas en base a experiencia. 
2. Autodidacta 
3. Conocimientos en economía y estadística.","1. Marketing estratégico. 
2. Gestionar fuentes de financiamiento.
3. Comunicación efectiva 
",Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Desarrollo Personal y Profesional
18 a 25 años,Cochabamba,"Soy emprendedora, ingeniera comercial con especialidad en marketing ",Licenciatura,En búsqueda de empleo,"Perseverancia, optimismo, superación ",Aprender cómo mejorar mi emprendimiento o cómo abrir y manejar uno,Trabajo asalariado o eventual,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
41 a 45 años,La Paz,"Trabajo de manera independiente y durante la pandemia tuve que reinventar mi modo de trabajo y la manera de acercarme a mis clientes, así que ando en constante búsqueda de nuevas herramientas, verme inmersa en la actualidad del mundo para poder ir a su ritmo, quisiera obtener nuevos conocimientos, retroalimentación y actualizarme con toda esta gente maravillosa que ya recorrió este camino del emprendimiento y estoy segura que serán un cofre del tesoro para descubrir todos sus conocimientos y la información que nos pueden dar. ",Diplomado,Trabajo como profesional independiente,"Puntualidad y disciplina siempre cumplo con lo que digo y ofrezco en mi trabajo. Empatía, tengo facilidad para conectar con la gente. Y me encanta hacer las cosas fijándome en los detalles, voy de lo general a lo particular porque eso es lo que nos gusta a todos, cuando nos hacen sentir que algo está especialmente pensado en uno y no es solo uno más de ese mar de ofertas.","Habilidades de servicios y herramientas digitales, hoy en día todo está en la red y si bien no lo manejo mal, me encantaría recibir una actualización de gente que estudia y trabaja por medios digitales. Llegar con mis servicios más allá de las fronteras de nuestra ciudad y luego cruzar las de nuestro país es mi ideal.",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de un año,Expresate,"Exprésate inicio como un consultorio de fonoaudiología pediátrica. Durante la pandemia encontré la necesidad de trasladar los servicios al mundo digital, y así lo hice. Debido a las consultas, sugerencias y necesidad de la gente, amplíe los servicios a talleres dirigidos a los papás, facilitando el acceso y el acercamiento a las familias, y por el mismo motivo amplíe el trabajo a otras áreas que tienen que ver con mis carreras (literatura y fonoaudiología) realizando trabajo de manera híbrida (presencial y virtual) que hasta la actualidad es requerido por las familias.",Servicios profesionales y/ó consultorías,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Instagram,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Emprendimiento e Innovación
26 a 30 años,La Paz,Ampliar mis conocimientos en el ámbito del emprendimiento porque si quiero garantizar un buen producto que tenga respaldo. ,Bachiller,Aún me encuentro estudiando,"Entradora en cualquier lugar donde me pongan a vender o ofrecer algún producto lo vendería. 
Ágil me gusta moverme de un lado a otro. 
Me gusta investigar en las redes sociales productos más vendidos y a un buen precio. ","Estrategias para lograr alcanzar mayores objetivos. 
Socializar con otras personas porque hay ideas que convinan y puede que sume en el emprendimiento. 
Y crecer como profesional como es en la práctica. ",Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Emprendimiento e Innovación
31 a 35 años,Santa Cruz,Poder potenciar mis habilidades empresariales para liderar de mejor forma mi emprendimiento y hacerlo crecer.,Diplomado,Trabajo como profesional independiente,"Tengo sólidos conocimientos en el rubro de alimentos (principalmente en diseño y desarrollo de productos). Soy una mujer perseverante, resiliente y con muchas ganas de superación.","Desarrollar actividades en las áreas de finanzas, comercial y marketing.",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de 5 años,Alimentos Sofar,"Alimentos Sofar es una empresa familiar, creada a finales del 2017 (SOFAR por los nombres de mis hijos: SOFia y ARturo). 
Debido a la demanda de productos listos para consumir, vimos una oportunidad de negocio en el segmento de salsas y aderezos. Iniciamos en el mercado formal con 5 productos: Salsas picantes distintas en sabor e intensidad.
Empezamos a comercializar los productos en marzo del 2018 en supermercados (Inicialmente Hipermaxi luego Fidalga, Tia, IC Norte) y carnicerías locales.
En el año 2020 se desarrollaron nuevos productos (salsas de queso y conservas) y logramos introducir nuestra variedad en el departamento de Cochabamba (Hipermaxi, Ic Norte) y el 2021 en el supermercado Ketal de La Paz. 
Los productos SOFAR están dirigidos a las personas que disfrutan acompañar sus comidas con aderezos. Contamos con una variedad de salsas picantes, salsas de queso y conservas. Son elaborados artesanalmente con ingredientes seleccionados y gracias al proceso de pasteurizado y sellado al vacío tienen una larga duración.
Nuestro cliente objetivo es una persona (entre 25 a 40 años) que le gusta confraternizar, juntarse con amigos, tener tiempo para despejar la mente de la rutina. Es por esto que ofrecemos productos listos para consumir, atractivos a la vista y al paladar.
Nuestros productos tienen ventaja competitiva ya que son elaborados con ingredientes de alta calidad y se encuentran en diversas presentaciones y sabores.",Gastronomía y/ó alimentos,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Emprendimiento e Innovación
18 a 25 años,El Alto,"Quiero mejorar, aprender habilidades que me ayuden a ser grande",Bachiller,Soy emprendedora,"Perseverancia, alegría, pongo atención y solución a problemas ","Legales para mi emprendimiento, ve tas, marketing conseguir nuevos mercados ",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Noche,Hace más de un año,Aristel ,"Elaboramos desayunos instantáneos de soya, quinoa, wilcalaru con lo sin eche, de fácil preparación y accesible a el bolsillo de las familias.",Gastronomía y/ó alimentos,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
26 a 30 años,El Alto,Aprender y ejecutar en mi emprendimiento ,Licenciatura,Soy emprendedora,Responsable puntual proactiva ,Mejorar en mi inseguridad ,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Tarde,Hace más de un año,Alana tejidos ,Realizamos prendas tejidas a mano ,"Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,Más de 5 (incluida mi persona),Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Desarrollo personal y habilidades blandas,Liderazgo y Empoderamiento
26 a 30 años,La Paz,Aprender herramientas que me ayuden a gestionar mi tiempo y desarrollar habilidades de manejo de decisiones para crecer en mi emprendimiento ,Post grado,Soy emprendedora,"Organización , detallista y creativa ","Manejo de redes sociales , capacidad de comunicación con verbal y metodológia de costos ",A través de mi empresa o emprendimiento,No,Si,Fines de semana,Mañana,Hace más de un año,BAMBOLA BEAUTY ,"Tienda online de skincare que busca llegar a todas las personas que deseen cuidar de su piel , no solo por belleza sino como un gesto de amor propio. ","Belleza, cuidado personal",De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
26 a 30 años,El Alto,Adquirir muchos conocimientos y tener un equipo donde podamos trabajar juntas ,Técnico medio o superior,Aún me encuentro estudiando,"Comunicación, se usar mucho las herramientas Tics y soy muy versátil ","Emprendimiento, conocer más personas para formar un equipo ",Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
41 a 45 años,La Paz,Aprender,Licenciatura,Soy emprendedora,"Perseverancia, motivación y compromiso con lo que hago","Estrategias, marketing ",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de un año,Ser verde ,Venta de productos saludables,Actividad comercial,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Toma de decisiones y negociación,Resiliencia y Determinación
41 a 45 años,Cochabamba,Mis hijos y mejorar mi emprendimiento,Técnico medio o superior,Trabajo y emprendo como actividad paralela,Costura..sublimación y corte,Todo sobre confecciones y sublimación ,De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Noche,Hace más de 5 años,Candy sports,Confección d ropa deportiva ,"Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Otro,Otras
Más de 50 años,Cochabamba,Crear una empresa de jabones artesanales en Bolivia,Licenciatura,Soy emprendedora,"Liderazgo,  curiosidad, servicio.","Aprender más sobre jabones, cremas , shampoo a rtesanales",De ambos (trabajo y emprendimiento),Si,Si,Indiferente,Tarde,Hace menos de 1 año,"""Tu Escencia"" salud y belleza",Jabones y cremas faciales artesanales,"Belleza, cuidado personal",Menos de 1 año,Sólo yo,Redes sociales Banco Sol,YouTube ,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Otro,Emprendimiento e Innovación
Más de 50 años,Cochabamba,Crear una empresa de productos de Salud y belleza artesanales.,Licenciatura,Soy emprendedora,"Liderazgo, curiosidad y atrevimiento ",Saber más sobre productos sobre salud y belleza artesanales,De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Tarde,Hace menos de 1 año,"""Tu Escencia""salud y belleza.",Productos artesanales para salud y belleza,"Belleza, cuidado personal",Menos de 1 año,Sólo yo,Redes sociales Banco Sol,YouTube ,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Liderazgo y Empoderamiento
36 a 40 años,Cochabamba,Necesito aprender mas para poder hacer crecer mi emprendimiento ,Técnico medio o superior,Soy emprendedora,"Confianza en mi capacidad , compromiso, decidión",Sobre el manejo financiero de un emprendimiento ,Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Herramientas digitales,Desarrollo Personal y Profesional
18 a 25 años,El Alto,Espero iniciar un pequeño emprendimiento ,Licenciatura,En búsqueda de empleo,"Perseverancia, responsabilidad y compromiso",Generar una base sólida para poder iniciar un emprendimiento ,Aún no percibo ingresos,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
Más de 50 años,La Paz,Aprender nuevas formas para emprender y así ganar experiencia,Bachiller,Soy emprendedora,"-conectar con las personas
-creativa
-pasión por la comida",La forma de emprender de mejor manera ,A través de mi empresa o emprendimiento,No,Si,De lunes a viernes,Mañana,Hace más de un año,Repostería casera ,Realización de pasteles y masitas ,Gastronomía y/ó alimentos,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,WhatsApp,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Desarrollo personal y habilidades blandas,Trabajo en Equipo y Colaboración
